Macro:  (0.50274426916361414, 0.41480187625497678, 0.44084457915797792, None)
Micro:  (0.63532171943260884, 0.63532171943260884, 0.63532171943260884, None)
Weighted:  (0.63438226341834214, 0.63532171943260884, 0.63221458769545191, None)
                                           precision    recall  f1-score   support

                    __label__MilitaryUnit       0.45      0.46      0.46        67
                 __label__MilitaryVehicle       0.57      0.42      0.49        83
                            __label__Mill       1.00      0.17      0.29         6
                         __label__Mineral       0.62      0.65      0.64        78
                         __label__Monarch       0.48      0.47      0.47       183
                       __label__Monastery       0.45      0.46      0.45        46
                        __label__Monument       0.86      0.63      0.73        38
                          __label__Mosque       0.67      0.50      0.57         4
                       __label__MotorRace       0.81      0.75      0.78        40
                        __label__Mountain       0.58      0.44      0.50       298
                    __label__MountainPass       0.73      0.61      0.67        36
                   __label__MountainRange       0.55      0.51      0.53        90
          __label__MultiVolumePublication       0.60      0.43      0.50         7
                    __label__Municipality       0.83      0.86      0.84     11669
                          __label__Muscle       0.74      0.61      0.67        33
                          __label__Museum       0.64      0.57      0.60       164
                   __label__MusicFestival       0.69      0.61      0.64        61
                      __label__MusicGenre       0.81      0.80      0.80       133
                         __label__Musical       0.57      0.57      0.57        14
                   __label__MusicalArtist       0.24      0.34      0.28      1461
                     __label__MusicalWork       0.58      0.33      0.42       153
                            __label__Name       0.42      0.43      0.43       459
     __label__NationalFootballLeagueEvent       0.72      0.78      0.74       107
                           __label__Nerve       0.67      0.67      0.67        15
                       __label__Newspaper       0.52      0.63      0.57        46
                     __label__NobleFamily       0.43      0.40      0.41        48
                    __label__OfficeHolder       0.30      0.35      0.32       280
                   __label__OlympicResult       0.59      0.61      0.60        28
                        __label__Olympics       0.87      0.83      0.85       195
                           __label__Opera       0.00      0.00      0.00         6
                    __label__Organisation       0.32      0.43      0.37       114
                        __label__Painting       0.28      0.25      0.26        88
                          __label__Parish       0.67      0.39      0.49        46
                            __label__Park       0.38      0.36      0.37        36
            __label__PeriodicalLiterature       0.51      0.41      0.45        98
                          __label__Person       0.28      0.31      0.30      1624
                     __label__Philosopher       0.64      0.33      0.43        43
                            __label__Play       0.00      0.00      0.00         5
                     __label__PokerPlayer       0.22      0.14      0.17        29
                  __label__PoliticalParty       0.65      0.66      0.65       217
                      __label__Politician       0.38      0.38      0.38      1059
                            __label__Pope       0.77      0.70      0.74       122
                  __label__PopulatedPlace       0.29      0.30      0.30       138
                            __label__Port       0.72      0.52      0.60        25
                    __label__PowerStation       0.71      0.44      0.54        57
                       __label__Presenter       0.07      0.07      0.07        99
                       __label__President       0.27      0.33      0.30        49
                          __label__Priest       0.20      0.04      0.07        24
                   __label__PrimeMinister       0.00      0.00      0.00         3
                      __label__Profession       0.64      0.53      0.58        17
                       __label__Professor       0.07      0.06      0.07        48
                   __label__ProtectedArea       0.54      0.40      0.46       218
                         __label__Protein       0.00      0.00      0.00         5
                        __label__Province       0.58      0.47      0.52       120
             __label__PublicTransitSystem       0.60      0.61      0.60        82
                       __label__Publisher       0.86      0.50      0.63        12
                            __label__Race       1.00      1.00      1.00        10
                       __label__RaceTrack       0.66      0.69      0.68        39
                    __label__RadioProgram       0.38      0.20      0.26        44
                    __label__RadioStation       0.56      0.51      0.53        47
                     __label__RailwayLine       0.79      0.79      0.79       425
                  __label__RailwayStation       0.86      0.79      0.83       832
                   __label__RailwayTunnel       0.50      0.29      0.36         7
                       __label__Rebellion       0.29      0.31      0.30        13
                    __label__RecordOffice       0.14      0.14      0.14         7
                         __label__Referee       0.00      0.00      0.00        18
                          __label__Region       0.42      0.30      0.35        37
           __label__ReligiousOrganisation       0.70      0.70      0.70        53
                         __label__Reptile       0.72      0.69      0.71       422
                        __label__RestArea       1.00      0.84      0.91        62
                      __label__Restaurant       0.00      0.00      0.00        24
                           __label__River       0.53      0.47      0.50       314
                            __label__Road       0.88      0.86      0.87       527
                    __label__RoadJunction       0.90      0.67      0.77        89
                      __label__RoadTunnel       0.68      0.56      0.61        34
                          __label__Rocket       1.00      0.17      0.29         6
                    __label__RocketEngine       0.00      0.00      0.00         1
                   __label__RollerCoaster       0.17      0.05      0.08        37
                           __label__Saint       0.63      0.56      0.59       130
                          __label__School       0.64      0.53      0.58        98
                       __label__Scientist       0.28      0.26      0.27       279
                       __label__Sculpture       0.38      0.27      0.32        59
                             __label__Sea       0.62      0.50      0.55        52
                      __label__Settlement       0.67      0.75      0.71     10171
                            __label__Ship       0.40      0.32      0.36       102
                    __label__ShoppingMall       0.30      0.23      0.26        13
                          __label__Single       0.53      0.46      0.49       448
                      __label__Skyscraper       0.48      0.32      0.38        47
                      __label__SoccerClub       0.78      0.79      0.78      1945
                    __label__SoccerPlayer       0.33      0.29      0.31      1310
                   __label__SocietalEvent       0.50      0.32      0.39        25
                        __label__Software       0.60      0.40      0.48       221
                            __label__Song       0.00      0.00      0.00        45
                         __label__Species       0.74      0.77      0.76      5375
                     __label__SpeedSkater       0.08      0.08      0.08        89
                           __label__Sport       0.70      0.83      0.76       192
                   __label__SportFacility       1.00      0.08      0.14        13
                      __label__SportsClub       0.00      0.00      0.00         9
                     __label__SportsEvent       0.75      0.73      0.74       116
                    __label__SportsLeague       0.70      0.70      0.70        46
                   __label__SportsManager       0.00      0.00      0.00         2
                      __label__SportsTeam       1.00      0.11      0.20         9
                        __label__Standard       0.60      0.38      0.46         8
                            __label__Star       0.14      0.08      0.10        26
                           __label__State       0.30      0.28      0.29        25
                __label__StatedResolution       0.77      0.74      0.76       150
                         __label__Station       0.00      0.00      0.00         3
                      __label__StormSurge       0.61      0.76      0.68        25
                          __label__Street       0.54      0.57      0.56       206
                 __label__SubMunicipality       0.21      0.22      0.22       140
                         __label__Swimmer       0.17      0.06      0.09        62
               __label__TableTennisPlayer       0.14      0.11      0.12         9
               __label__TelevisionEpisode       0.00      0.00      0.00        26
