Macro:  (0.8743712590419308, 0.89500407980703944, 0.88425634446114876, None)
Micro:  (0.91309039302846551, 0.91309039302846551, 0.91309039302846551, None)
Weighted:  (0.87102194612915029, 0.91309039302846551, 0.89137657728471209, None)
                      precision    recall  f1-score   support

                           0.00      0.00      0.00      3967
               actor       0.89      0.97      0.93     17467
             airport       0.97      0.94      0.96       413
              animal       0.95      0.94      0.94       615
              author       0.92      0.96      0.94      7044
              bridge       0.97      0.98      0.97       135
           broadcast       0.91      0.91      0.91      5780
                film       0.81      0.85      0.83      4316
             holiday       0.94      0.96      0.95       643
               hotel       0.79      0.85      0.81        26
              island       0.94      0.99      0.96      3256
              malady       0.95      0.99      0.97      4124
            mountain       0.92      0.96      0.94       719
               music       0.91      0.96      0.94     23193
                news       0.97      0.99      0.98      2014
programming_language       0.91      0.90      0.90       175
                road       0.93      0.99      0.96       280
            software       0.91      0.96      0.93       933
               stage       0.88      0.82      0.85       767
    violent_conflict       0.97      0.99      0.98      8963
              weapon       0.92      0.90      0.91       431

         avg / total       0.87      0.91      0.89     85261

