Macro:  (0.89385000771510792, 0.91024211007114642, 0.90156423361288807, None)
Micro:  (0.94486873212937406, 0.94486873212937406, 0.94486873212937394, None)
Weighted:  (0.91287806050687659, 0.94486873212937406, 0.92844346233255137, None)
                  precision    recall  f1-score   support

                       0.00      0.00      0.00      2806
           actor       0.87      0.94      0.90      6489
         airport       0.96      0.99      0.98       503
          author       0.93      0.97      0.95      6243
          bridge       0.95      0.98      0.97       432
       broadcast       0.96      0.98      0.97      7804
        election       0.97      0.99      0.98      1082
            film       0.91      0.94      0.93      4301
         holiday       0.98      0.98      0.98       255
           hotel       0.86      0.97      0.92        39
          island       0.93      1.00      0.96      4454
          malady       0.98      1.00      0.99      4875
        mountain       0.97      0.99      0.98      2673
           music       0.91      0.97      0.94     14784
            news       0.98      0.99      0.99      1297
         protest       0.97      0.95      0.96        60
         railway       0.96      0.99      0.98      2024
      restaurant       0.83      0.74      0.78        34
            road       0.99      0.99      0.99      2368
        software       0.96      0.99      0.98      1788
    sports_event       1.00      0.99      0.99      1476
 sports_facility       0.96      0.96      0.96        27
           stage       0.50      0.50      0.50         2
violent_conflict       0.99      1.00      0.99     14919
         writing       1.00      0.96      0.98        54

     avg / total       0.91      0.94      0.93     80789

