Macro:  (0.90848160303071557, 0.89883028188053671, 0.90344959379916279, None)
Micro:  (0.95578744801542725, 0.95578744801542725, 0.95578744801542725, None)
Weighted:  (0.9461918363783306, 0.95578744801542725, 0.95085698476421532, None)
                    precision    recall  f1-score   support

                         0.00      0.00      0.00      2541
               art       0.93      0.91      0.92     11443
            artist       0.93      0.96      0.95     51749
           athlete       0.80      0.81      0.81      6162
             award       0.97      0.98      0.97      1310
         celestial       0.98      0.93      0.95       687
              city       0.95      0.99      0.97     34954
           company       0.97      0.97      0.97      2090
           country       0.99      0.99      0.99     79071
          currency       0.98      0.91      0.95       579
             event       0.97      0.96      0.97      9880
         geography       0.94      0.91      0.92      4297
            health       0.95      0.97      0.96      4183
          internet       0.99      0.98      0.98      1678
          language       0.96      0.96      0.96     12404
      living_thing       0.95      0.89      0.92       649
              park       0.94      0.90      0.92       448
   political_party       0.98      0.98      0.98      5094
           product       0.92      0.90      0.91      1431
  religious_leader       0.96      0.95      0.96      1967
        scientific       0.90      0.91      0.91      4238
sports_and_leisure       1.00      1.00      1.00      5082
         structure       0.93      0.88      0.91      1596
      supernatural       0.88      0.88      0.88      4425
           transit       0.94      0.94      0.94       433

       avg / total       0.95      0.96      0.95    248391

