Macro:  (0.92558123527396496, 0.90134721423225617, 0.91219130990472774, None)
Micro:  (0.9768692103534683, 0.9768692103534683, 0.9768692103534683, None)
Weighted:  (0.9743698022552687, 0.9768692103534683, 0.97554393999040578, None)
                    precision    recall  f1-score   support

                         0.00      0.00      0.00      1192
               art       0.96      0.92      0.94     11097
            artist       0.94      0.96      0.95     32092
           athlete       0.77      0.76      0.77      2834
             award       0.93      0.97      0.95        70
         body_part       0.95      0.96      0.96      1298
         celestial       0.99      0.98      0.98      1894
              city       0.98      0.99      0.99    179861
           company       0.98      0.97      0.97     12765
           country       0.99      0.99      0.99    142228
          currency       0.98      0.96      0.97       897
            doctor       1.00      0.67      0.80         9
             event       0.99      0.98      0.99     18331
         geography       0.94      0.86      0.90      8243
        government       0.97      0.98      0.97       418
            health       0.98      0.98      0.98      4964
          heritage       0.90      0.85      0.88      2167
          internet       0.97      0.94      0.96       890
          language       0.98      0.98      0.98     25779
             legal       0.85      0.83      0.84       177
          military       0.98      0.97      0.97      1023
              park       0.94      0.87      0.91       252
  political_figure       0.89      0.90      0.90      4880
   political_party       0.98      0.97      0.97      2708
           product       0.96      0.94      0.95      1956
          religion       1.00      0.99      0.99      1487
        scientific       0.94      0.92      0.93      2949
sports_and_leisure       0.99      0.99      0.99      6696
     sports_league       0.99      0.99      0.99      1484
       sports_team       0.97      0.87      0.92        39
         structure       0.93      0.87      0.90      2400
      supernatural       0.89      0.87      0.88      1930
             title       0.96      0.96      0.96      4431
           transit       0.98      0.97      0.98      6232

       avg / total       0.97      0.98      0.98    485673

