Macro:  (0.67658902274383315, 0.51697797704455084, 0.56787024742262782, None)
Micro:  (0.84949353834846542, 0.84949353834846542, 0.84949353834846542, None)
Weighted:  (0.85085560920655579, 0.84949353834846542, 0.84613564164234556, None)
                                           precision    recall  f1-score   support

                           __label__Actor       0.50      0.53      0.51      6888
            __label__AdministrativeRegion       0.97      0.94      0.96      1452
                           __label__Agent       0.92      0.65      0.76        37
                        __label__Aircraft       0.78      0.63      0.70       374
                         __label__Airline       0.86      0.59      0.70       603
                         __label__Airport       0.85      0.75      0.80       561
                           __label__Album       0.69      0.53      0.60      1482
         __label__AmusementParkAttraction       0.80      0.46      0.59       435
             __label__AnatomicalStructure       0.70      0.52      0.60      1272
                        __label__Arachnid       0.94      0.90      0.92     13118
                       __label__Architect       0.79      0.67      0.72       763
          __label__ArchitecturalStructure       0.82      0.53      0.64       527
                           __label__Arena       0.67      0.64      0.65       967
                  __label__Arrondissement       0.95      0.93      0.94       246
                          __label__Artist       0.67      0.59      0.62      3691
                         __label__Athlete       0.33      0.38      0.35      2968
                          __label__Attack       0.88      0.81      0.85       182
                      __label__Automobile       0.68      0.65      0.67      1045
                           __label__Award       0.85      0.70      0.77        82
                 __label__BadmintonPlayer       0.60      0.08      0.14        38
                            __label__Band       0.70      0.59      0.64      5192
                __label__BasketballPlayer       0.59      0.22      0.32        85
                  __label__BasketballTeam       0.64      0.65      0.64       188
                            __label__Beer       0.59      0.26      0.36       272
                       __label__Biologist       0.83      0.91      0.87      1127
                            __label__Bird       0.75      0.54      0.63      4691
                     __label__BloodVessel       0.74      0.29      0.41       135
                            __label__Bone       0.72      0.61      0.66       671
                            __label__Book       0.75      0.65      0.70      1247
                           __label__Brain       0.66      0.39      0.49       266
                         __label__Brewery       0.93      0.87      0.90       258
                          __label__Bridge       0.53      0.28      0.37       417
                __label__BroadcastNetwork       0.97      0.90      0.93      1949
                        __label__Building       0.60      0.41      0.49      1695
                           __label__Canal       0.70      0.61      0.65       869
                        __label__Cardinal       0.73      0.55      0.62       321
                          __label__Castle       0.82      0.59      0.69       706
                             __label__Cat       0.00      0.00      0.00        12
                   __label__CelestialBody       0.97      0.86      0.91      1853
                        __label__Cemetery       0.90      0.86      0.88       190
                          __label__Cheese       0.33      0.09      0.14        65
                __label__ChemicalCompound       0.55      0.65      0.60      5720
                 __label__ChemicalElement       0.79      0.77      0.78      3929
                 __label__ChristianBishop       0.60      0.39      0.47       209
                          __label__Church       0.69      0.64      0.66      2345
                            __label__City       0.94      0.88      0.91      7605
                    __label__CityDistrict       0.78      0.48      0.59      4016
           __label__CollectionOfValuables       0.00      0.00      0.00         6
                          __label__Colour       0.66      0.41      0.51       275
                        __label__Comedian       0.77      0.44      0.56       139
                           __label__Comic       0.90      0.79      0.84       974
                      __label__ComicStrip       0.65      0.57      0.61       273
                         __label__Company       0.71      0.69      0.70      9669
               __label__ConcentrationCamp       0.92      0.71      0.80       429
                         __label__Country       0.96      0.97      0.96    142579
                        __label__Criminal       0.50      0.30      0.37        67
                        __label__Currency       0.93      0.81      0.87       898
                   __label__CyclingLeague       0.00      0.00      0.00        16
                     __label__CyclingRace       0.91      0.88      0.89      2074
                     __label__CyclingTeam       0.81      0.44      0.57       367
                         __label__Cyclist       0.42      0.30      0.35      1771
                             __label__Dam       0.73      0.43      0.54        99
                           __label__Deity       0.74      0.28      0.41       264
                      __label__Department       0.88      0.71      0.79       516
                          __label__Device       0.91      0.68      0.78        73
                         __label__Diocese       0.87      0.67      0.76       361
                         __label__Disease       0.61      0.63      0.62      4914
                        __label__District       0.92      0.90      0.91      6457
              __label__DistrictWaterBoard       0.65      0.47      0.54       620
                             __label__Dog       0.54      0.15      0.23       135
                            __label__Drug       0.62      0.24      0.34       592
                        __label__Election       0.94      0.95      0.94      1076
           __label__EmployersOrganisation       0.50      0.08      0.14        24
                          __label__Enzyme       0.00      0.00      0.00        38
                     __label__EthnicGroup       0.73      0.44      0.55      2153
                           __label__Event       0.55      0.37      0.44       306
                          __label__Family       0.86      0.87      0.87     13789
