Macro:  (0.44057557286251042, 0.36675634593099887, 0.39323942160153924, None)
Micro:  (0.48508241185061546, 0.48508241185061546, 0.48508241185061546, None)
Weighted:  (0.48747135512768758, 0.48508241185061546, 0.48277584514853078, None)
                                 precision    recall  f1-score   support

                 __label__Actor       0.31      0.40      0.35      2444
  __label__AdministrativeRegion       0.59      0.69      0.64      6537
              __label__Aircraft       0.63      0.62      0.63       344
               __label__Airline       0.71      0.54      0.61       108
               __label__Airport       0.90      0.78      0.84       185
                 __label__Album       0.50      0.48      0.49      1038
             __label__Amphibian       0.10      0.06      0.08        78
                __label__Animal       0.34      0.24      0.28       157
              __label__Arachnid       0.18      0.13      0.15        46
               __label__Archaea       1.00      0.75      0.86         4
             __label__Architect       0.29      0.16      0.21        99
__label__ArchitecturalStructure       0.25      0.15      0.19       100
                __label__Artery       0.90      0.82      0.86        22
                __label__Artist       0.21      0.15      0.17       523
               __label__Artwork       0.23      0.18      0.20        39
             __label__Astronaut       0.00      0.00      0.00        14
               __label__Athlete       0.35      0.27      0.30      2236
            __label__Automobile       0.67      0.52      0.58       268
                 __label__Award       0.86      0.71      0.78       221
              __label__Bacteria       0.69      0.53      0.60        55
       __label__BadmintonPlayer       0.00      0.00      0.00         4
          __label__BaseballTeam       0.53      0.55      0.54        44
                 __label__Beach       0.82      0.50      0.62        36
              __label__Beverage       0.00      0.00      0.00        20
                  __label__Bird       0.46      0.44      0.45       942
           __label__BodyOfWater       0.80      0.74      0.77      1085
                  __label__Book       0.32      0.29      0.30       406
                __label__Bridge       0.70      0.61      0.65        69
              __label__Building       0.55      0.41      0.47       363
           __label__BullFighter       0.00      0.00      0.00         9
                  __label__Cave       0.40      0.14      0.21        14
         __label__CelestialBody       0.59      0.37      0.45        46
                __label__Cheese       0.25      0.16      0.19        19
                  __label__Chef       0.00      0.00      0.00         3
       __label__ChristianBishop       0.26      0.22      0.24       111
              __label__ClubMoss       1.00      0.33      0.50         3
                 __label__Coach       0.19      0.16      0.18       184
                __label__Colour       0.30      0.23      0.26        31
               __label__Company       1.00      0.17      0.29         6
               __label__Conifer       0.43      0.39      0.41        69
               __label__Country       0.47      0.62      0.53       330
              __label__Criminal       0.00      0.00      0.00        31
            __label__Crustacean       0.27      0.22      0.24        49
              __label__Currency       0.36      0.27      0.31        90
                 __label__Cycad       0.00      0.00      0.00         3
               __label__Cyclist       0.27      0.15      0.19       239
               __label__Disease       0.67      0.63      0.65       741
                  __label__Drug       0.68      0.63      0.65       116
             __label__Eukaryote       0.52      0.30      0.38        40
                  __label__Fern       0.09      0.05      0.06        22
    __label__FictionalCharacter       0.25      0.22      0.23       618
                  __label__Film       0.46      0.46      0.46      1593
                  __label__Fish       0.36      0.29      0.32       361
        __label__FloweringPlant       0.55      0.58      0.56      1728
         __label__FootballMatch       0.66      0.56      0.61       334
                __label__Fungus       0.34      0.32      0.33        68
                __label__Galaxy       0.62      0.36      0.46        22
                  __label__Game       0.62      0.35      0.44        23
           __label__Gnetophytes       0.00      0.00      0.00         1
             __label__GreenAlga       0.71      0.50      0.59        10
      __label__HistoricBuilding       0.63      0.58      0.60       426
               __label__Holiday       0.67      0.53      0.59       143
              __label__Hospital       0.57      0.61      0.59        38
                 __label__Hotel       1.00      0.33      0.50        21
                __label__Insect       0.49      0.35      0.41       300
            __label__Instrument       0.45      0.40      0.43        57
                __label__Island       0.63      0.43      0.51       343
            __label__Journalist       0.07      0.04      0.05       108
              __label__Language       0.55      0.59      0.57       416
              __label__Locality       0.25      0.13      0.17        23
              __label__Magazine       0.63      0.58      0.61       295
                __label__Mammal       0.42      0.39      0.41       684
  __label__MeanOfTransportation       0.66      0.59      0.62       225
      __label__MilitaryConflict       0.80      0.76      0.78      1718
        __label__MilitaryPerson       0.29      0.23      0.26       552
               __label__Mineral       0.61      0.65      0.63       109
                 __label__Model       0.14      0.07      0.10        70
              __label__Mollusca       0.30      0.22      0.26        58
                  __label__Moss       0.17      0.12      0.14        17
       __label__MotorsportRacer       0.09      0.07      0.08       101
              __label__Mountain       0.51      0.43      0.47       294
          __label__Municipality       0.47      0.55      0.51      3143
                __label__Muscle       0.46      0.44      0.45        25
                __label__Museum       0.73      0.66      0.69       254
         __label__MusicFestival       0.61      0.39      0.48        64
            __label__MusicGenre       0.62      0.63      0.62       225
         __label__MusicalArtist       0.25      0.35      0.29      2366
           __label__MusicalWork       0.00      0.00      0.00        10
             __label__Newspaper       0.52      0.53      0.53       123
                 __label__Noble       0.71      0.66      0.69      1488
         __label__OlympicResult       0.11      0.17      0.13         6
              __label__Olympics       0.82      0.78      0.80       144
          __label__Organisation       0.46      0.51      0.48      1423
              __label__Painting       0.28      0.13      0.18        99
                  __label__Park       0.54      0.43      0.48       143
                __label__Person       0.25      0.25      0.25      2786
                 __label__Plant       0.21      0.17      0.19       183
                  __label__Play       0.23      0.15      0.18       166
        __label__PoliticalParty       0.74      0.71      0.72       584
                  __label__Port       0.77      0.65      0.70        31
             __label__President       0.35      0.38      0.36      2216
   __label__ProgrammingLanguage       0.35      0.33      0.34        18
               __label__Protein       0.52      0.49      0.50       138
          __label__RadioStation       0.66      0.53      0.59       123
               __label__Referee       0.00      0.00      0.00        14
             __label__Religious       0.44      0.33      0.38       216
     __label__ReligiousBuilding       0.41      0.30      0.35       106
               __label__Reptile       0.53      0.52      0.53       447
                 __label__River       0.00      0.00      0.00         2
                  __label__Road       0.38      0.35      0.36        72
 __label__RouteOfTransportation       0.66      0.65      0.65       425
           __label__RugbyPlayer       0.00      0.00      0.00         2
                 __label__Saint       0.46      0.36      0.40       335
                __label__School       0.53      0.38      0.45        81
             __label__Scientist       0.42      0.31      0.36       953
                  __label__Ship       0.44      0.31      0.37       115
          __label__ShoppingMall       0.33      0.21      0.26        19
                __label__Single       0.54      0.49      0.51       636
            __label__SoccerClub       0.73      0.76      0.75      1535
          __label__SoccerPlayer       0.73      0.69      0.71        95
      __label__SoccerTournament       0.80      0.83      0.82       603
              __label__Software       0.48      0.28      0.35       231
                  __label__Song       0.11      0.06      0.08       160
               __label__Species       0.54      0.48      0.51       166
                 __label__Sport       0.60      0.64      0.62        73
               __label__Stadium       0.73      0.67      0.70       576
               __label__Station       0.73      0.57      0.64       432
               __label__Swimmer       0.00      0.00      0.00        21
     __label__TelevisionEpisode       0.31      0.27      0.29       113
        __label__TelevisionShow       0.35      0.42      0.38       896
     __label__TelevisionStation       0.52      0.47      0.49       215
          __label__TennisPlayer       0.16      0.20      0.17       125
               __label__Theatre       0.56      0.45      0.50       111
                 __label__Train       0.69      0.44      0.54        41
            __label__University       0.78      0.72      0.75       586
                  __label__Vein       0.27      0.25      0.26        12
             __label__VideoGame       0.39      0.38      0.39       228
      __label__VolleyballPlayer       0.00      0.00      0.00         3
                __label__Weapon       0.57      0.36      0.44       213
               __label__Website       0.30      0.23      0.26        78
     __label__WorldHeritageSite       0.35      0.29      0.32       397
              __label__Wrestler       0.19      0.19      0.19       236
                __label__Writer       0.19      0.18      0.19       790

                    avg / total       0.49      0.49      0.48     57516

