Macro:  (0.82926947372323445, 0.74506642679362389, 0.77789150970616505, None)
Micro:  (0.89034629389583964, 0.89034629389583964, 0.89034629389583964, None)
Weighted:  (0.88975207725721828, 0.89034629389583964, 0.88968991443901946, None)
                                 precision    recall  f1-score   support

                 __label__Actor       0.78      0.83      0.81     18567
  __label__AdministrativeRegion       0.93      0.94      0.94    106224
              __label__Aircraft       0.76      0.80      0.78       932
               __label__Airline       0.91      0.84      0.88       465
               __label__Airport       0.93      0.80      0.86       426
                 __label__Album       0.71      0.68      0.70      3173
             __label__Amphibian       0.83      0.76      0.80       334
                __label__Animal       0.86      0.81      0.83       662
              __label__Arachnid       0.95      0.93      0.94       610
               __label__Archaea       1.00      0.92      0.96        25
             __label__Architect       0.85      0.75      0.80       509
__label__ArchitecturalStructure       0.75      0.64      0.69       311
                __label__Artery       0.97      0.93      0.95        75
                __label__Artist       0.82      0.77      0.79      2750
               __label__Artwork       0.57      0.48      0.52        90
             __label__Astronaut       0.78      0.55      0.65        38
               __label__Athlete       0.65      0.61      0.63      6419
            __label__Automobile       0.87      0.80      0.83       974
                 __label__Award       0.96      0.93      0.94      1341
              __label__Bacteria       0.89      0.78      0.83       135
       __label__BadmintonPlayer       0.94      0.56      0.70        27
          __label__BaseballTeam       0.89      0.87      0.88       409
                 __label__Beach       0.89      0.54      0.67        61
              __label__Beverage       0.76      0.65      0.70        77
                  __label__Bird       0.81      0.80      0.81      3063
           __label__BodyOfWater       0.94      0.92      0.93      7909
                  __label__Book       0.76      0.72      0.74      1806
                __label__Bridge       0.84      0.79      0.82       146
              __label__Building       0.79      0.73      0.76      1096
           __label__BullFighter       0.94      0.61      0.74        51
                  __label__Cave       0.62      0.26      0.37        19
         __label__CelestialBody       0.94      0.94      0.94       671
                __label__Cheese       0.55      0.40      0.46        40
                  __label__Chef       1.00      0.46      0.63        13
       __label__ChristianBishop       0.66      0.58      0.62       306
              __label__ClubMoss       1.00      0.70      0.82        10
                 __label__Coach       0.81      0.76      0.79      1275
                __label__Colour       0.89      0.84      0.87       320
               __label__Company       0.95      0.82      0.88        45
               __label__Conifer       0.78      0.76      0.77       221
               __label__Country       0.98      0.99      0.98     79467
              __label__Criminal       0.86      0.75      0.80       190
            __label__Crustacean       0.85      0.81      0.83       227
              __label__Currency       0.87      0.77      0.82       605
                 __label__Cycad       1.00      0.20      0.33         5
               __label__Cyclist       0.76      0.64      0.69       879
               __label__Disease       0.93      0.92      0.93      4265
                  __label__Drug       0.94      0.92      0.93       659
             __label__Eukaryote       0.99      0.97      0.98      1192
                  __label__Fern       0.68      0.52      0.59        52
    __label__FictionalCharacter       0.80      0.78      0.79      4588
                  __label__Film       0.67      0.65      0.66      4552
                  __label__Fish       0.89      0.86      0.88      2118
        __label__FloweringPlant       0.85      0.87      0.86      6568
         __label__FootballMatch       0.82      0.70      0.75      1467
                __label__Fungus       0.86      0.84      0.85       316
                __label__Galaxy       0.79      0.79      0.79        75
                  __label__Game       0.89      0.79      0.84       149
           __label__Gnetophytes       1.00      0.50      0.67         6
             __label__GreenAlga       0.90      0.82      0.86        34
      __label__HistoricBuilding       0.78      0.75      0.76      1050
               __label__Holiday       0.91      0.85      0.88       716
              __label__Hospital       0.80      0.81      0.81       121
                 __label__Hotel       0.89      0.50      0.64        32
                __label__Insect       0.91      0.85      0.88      1437
            __label__Instrument       0.97      0.96      0.97      1277
                __label__Island       0.92      0.87      0.90      3422
            __label__Journalist       0.76      0.62      0.68       470
              __label__Language       0.93      0.95      0.94     12192
              __label__Locality       0.70      0.52      0.60       122
